Ngay,ETF_VN30,SP500,VANG,BITCOIN
2018-12-31,-0.02785326086956519,-0.09177689467997252,0.04761522699656795,-0.0683469654808112
2019-01-31,-0.0034940600978337066,0.07868440166582613,0.03238668603799488,-0.07612356891843053
2019-02-28,0.05189340813464227,0.029728889343927145,-0.005228387208488505,0.11481101020191953
2019-03-31,-0.020000000000000018,0.01792425624958849,-0.015082303543330622,0.06501500614248945
2019-04-30,0.0013605442176871652,0.03931349831373798,-0.007888593327049498,0.3033373026312973
2019-05-31,-0.01154891304347827,-0.0657777313668354,0.01792952847250917,0.6024930171574245
2019-06-30,-0.023367697594501746,0.0689301639982407,0.07956800310812806,0.26154910600902714
2019-07-31,0.035186488388458725,0.013128152166957952,0.011633698646601465,-0.067626591766352
2019-08-31,0.011556764106050332,-0.018091627240523933,0.06521281929185174,-0.045110118116522324
2019-09-30,0.03897849462365599,0.017181177931020697,-0.03515240950054355,-0.13880620170759905
2019-10-31,-0.005174644243208237,0.020431770513684056,0.031179692136612758,0.10920318227380199
2019-11-30,-0.04096228868660601,0.034047037714499906,-0.03030306212009004,-0.1771770232076748
2019-12-31,0.0006779661016949046,0.02858981890573009,0.03677676399558738,-0.0496762414464359
2020-01-31,-0.041327913279132766,-0.0016280928190489652,0.04172426746565483,0.29984019674608997
2020-02-29,-0.020494699646643078,-0.08411048363840312,-0.011876965404106432,-0.08031850219040493
2020-03-31,-0.22438672438672436,-0.12511928240892822,0.012339395901399985,-0.25127763815543147
2020-04-30,0.11627906976744184,0.1268440381652789,0.06366043021573997,0.34477896223547644
2020-05-31,0.12250000000000005,0.04528181966555822,0.03129086496263023,0.09268347920493625
2020-06-30,-0.012620638455827726,0.01838839651392421,0.03229890885911102,-0.034146858566219795
2020-07-31,-0.06766917293233088,0.055101321480443666,0.09470164463364483,0.23916341296986676
2020-08-31,0.11209677419354835,0.07006466690171775,0.002445448664359917,0.03155866679660524
2020-09-30,0.052936910804931125,-0.039227970178423055,-0.040709481896636146,-0.07673511599209437
2020-10-31,0.026170798898071723,-0.027665786221379718,-0.005350980442880848,0.27785306210931693
2020-11-30,0.09194630872483223,0.10754563544385909,-0.05417069986132983,0.4241232777902142
2020-12-31,0.10633066994468354,0.03712145909357001,0.06611478720635455,0.477731740726012
2021-01-31,-0.02777777777777779,-0.011136660755445171,-0.02419308401482434,0.14180671257315614
2021-02-28,0.12571428571428567,0.026091451377448394,-0.06452664434118571,0.36308750593940786
2021-03-31,0.020304568527918843,0.042438632533165155,-0.008274941820402448,0.30531110958991947
2021-04-30,0.0945273631840795,0.05242532134755851,0.031217177311076982,-0.019835020649767054
2021-05-31,0.12227272727272731,0.00548648867060697,0.07650084730180629,-0.3535455959448175
2021-06-30,0.046577561765897224,0.022214009565834747,-0.06922467867115634,-0.06139416614323989
2021-07-31,-0.047987616099071206,0.02274805482838871,0.023605108202631175,0.18793385485283132
2021-08-31,-0.020325203252032575,0.028990416255438634,0.001324078366097714,0.1331010952575873
2021-09-30,0.018672199170124415,-0.047569168801901096,-0.032892535080922825,-0.07157155076344934
2021-10-31,0.047250509164969534,0.0691438364006065,0.01578074995803025,0.4002672858735883
2021-11-30,0.003500583430571691,-0.008333706184746159,-0.005272027153147785,-0.07034580264960633
2021-12-31,0.0011627906976743319,0.04361291346206486,0.03039018107578384,-0.18768354629620299
2022-01-31,-0.0034843205574912606,-0.052585165027393854,-0.017783857729138153,-0.16894668246945244
2022-02-28,0.002331002331002363,-0.031360491945908286,0.0581615734897285,0.1223941500332939
2022-03-31,-0.019379844961240345,0.03577328837154625,0.02621876704101611,0.05430112933630005
2022-04-30,0.0,-0.08795671180434306,-0.020469886796252945,-0.17180562778839858
2022-05-31,0.0,5.317770464463578e-05,-0.03488194414341905,-0.15703524015723236
2022-06-30,0.0,-0.08391999993382682,-0.020947509962970123,-0.37768830820493093
2022-07-31,0.0,0.09111639173021002,-0.022836844814264845,0.17954101668545608
